sample_id,word_index,word,supported,old_zero_filled_F0_hz,new_conditional_F0_hz,voiced_fraction,pitch_valid,start_median_s,end_median_s
-3g5yACwYnA$_$13,0,they've,True,107.63710804666545,107.63776439633139,0.999993902236175,True,1.46246875,1.6024687499999999
-3g5yACwYnA$_$13,1,been,True,105.09631921292775,105.09631921292775,1.0,True,1.6024687499999999,1.70246875
-3g5yACwYnA$_$13,2,able,True,103.08092138676359,103.0809213867636,0.9999999999999999,True,1.72246875,1.92246875
-3g5yACwYnA$_$13,3,to,True,9.501206071886592,101.74747946932641,0.09338025984959068,True,1.94246875,2.02246875
-3g5yACwYnA$_$13,4,find,True,0.0,0.0,0.0,False,2.1624687500000004,2.4024687499999997
-3g5yACwYnA$_$13,5,solutions,True,71.4767676322796,103.28262221830458,0.6920502800674624,True,2.4424687499999997,2.96246875
-3g5yACwYnA$_$13,6,or,False,0.0,0.0,0.0,False,3.0024687500000002,3.0824687500000003
-3g5yACwYnA$_$13,7,at,True,0.0,0.0,0.0,False,3.1224687500000003,3.22246875
-3g5yACwYnA$_$13,8,least,True,0.0,0.0,0.0,False,3.26246875,3.4024687499999997
-3g5yACwYnA$_$13,9,bring,True,92.7138065769267,103.69279161418059,0.8941200746325316,True,3.46246875,3.72246875
-3g5yACwYnA$_$13,10,some,True,62.03761384843212,99.83641385014646,0.6213926507972333,True,3.80246875,3.98246875
-3g5yACwYnA$_$13,11,answers,True,39.31515970973695,102.44827705953597,0.38375618251627264,True,4.042468749999999,4.3224687500000005
-3g5yACwYnA$_$13,12,to,True,0.0,0.0,0.0,False,4.36246875,4.42246875
-3g5yACwYnA$_$13,13,the,True,0.0,0.0,0.0,False,4.46246875,4.542468749999999
-3g5yACwYnA$_$13,14,table,True,0.0,0.0,0.0,False,4.58246875,4.88246875
-3g5yACwYnA$_$3,0,we're,True,59.63721522007297,85.26342242254745,0.6994466504584295,True,0.60246875,0.98246875
-3g5yACwYnA$_$3,1,a,True,113.82479987993415,113.83927180078301,0.9998728740915157,True,1.22246875,1.24246875
-3g5yACwYnA$_$3,2,huge,True,87.86232787499799,118.09405887545209,0.7440029474104366,True,1.3624687500000001,1.80246875
-3g5yACwYnA$_$3,3,user,True,104.51642907939082,113.9698682870051,0.9170531707222112,True,2.6224687500000003,2.8624687499999997
-3g5yACwYnA$_$3,4,of,True,106.05672411579592,106.05672411579593,0.9999999999999999,True,2.96246875,3.02246875
-3g5yACwYnA$_$3,5,adhesives,True,63.49200262407815,114.60975666521941,0.5539842721204036,True,3.06246875,3.5824687500000003
-3g5yACwYnA$_$3,6,for,True,89.26595245252365,100.40627190027274,0.8890475740518076,True,4.2024687499999995,4.38246875
-3g5yACwYnA$_$3,7,our,True,105.81676903130375,107.30813761240077,0.9861019992119902,True,4.542468749999999,4.64246875
