split,id,polarity,final_intensity,raw_intensity,classification_principal_modality,classification_modal_scores_T,classification_modal_scores_A,classification_modal_scores_V,classification_modality_shares_T,classification_modality_shares_A,classification_modality_shares_V,regression_principal_modality,regression_modal_scores_T,regression_modal_scores_A,regression_modal_scores_V,regression_modality_shares_T,regression_modality_shares_A,regression_modality_shares_V,precision_weight_T,precision_weight_A,precision_weight_V,available_T,available_A,available_V
valid,-UacrmKiTn4$_$7,2,0.5828132629394531,0.5828132629394531,T,2.322199583053589,-0.00859537161886692,0.18304923176765442,0.9237642884254456,0.0034192141611129045,0.07281645387411118,T,0.1476915180683136,0.011044972576200962,0.023043394088745117,0.8124744296073914,0.060760144144296646,0.12676537036895752,0.4158720076084137,0.30530592799186707,0.2788220942020416,True,True,True
valid,-qDkUB0GgYY$_$5,2,0.3624895513057709,0.3624895513057709,T,-0.953764796257019,0.36208590865135193,0.41362327337265015,0.551476776599884,0.20936186611652374,0.23916129767894745,V,0.021140553057193756,0.035898495465517044,0.04939195141196251,0.19863153994083405,0.3372935950756073,0.46407485008239746,0.5020634531974792,0.25180870294570923,0.24612785875797272,True,True,True
valid,0utROiKxejc$_$1,2,0.40362024307250977,0.40362024307250977,T,1.9826562404632568,0.10918761789798737,-0.03452884405851364,0.9324124455451965,0.05134924128651619,0.0162383783608675,T,0.11408020555973053,0.023078659549355507,-0.01679019071161747,0.7410256266593933,0.14991100132465363,0.1090632826089859,0.407502144575119,0.2831258773803711,0.3093720078468323,True,True,True
valid,0utROiKxejc$_$4,0,-1.1958715915679932,-1.1958715915679932,T,5.638138771057129,0.016464615240693092,-0.05197817087173462,0.9880063533782959,0.0028851975221186876,0.009108460508286953,T,-0.4680759310722351,0.05141386762261391,-0.02034178003668785,0.8670777082443237,0.09524057060480118,0.03768171742558479,0.4140188992023468,0.27587446570396423,0.3101066052913666,True,True,True
valid,0y022OlZ3W0$_$3,2,1.3931634426116943,1.3931634426116943,T,6.102055549621582,0.487314909696579,0.4587280750274658,0.8657733201980591,0.06914132833480835,0.06508536636829376,T,0.4579879343509674,0.00692658219486475,0.022984467446804047,0.9386941194534302,0.014196754433214664,0.04710906744003296,0.4273935854434967,0.28566086292266846,0.28694555163383484,True,True,True
valid,0y022OlZ3W0$_$5,0,-0.3707280158996582,-0.3707280158996582,T,1.385703444480896,0.023202890530228615,0.08757974952459335,0.925971508026123,0.015504916198551655,0.058523599058389664,T,-0.19098718464374542,0.038364164531230927,0.01342009101063013,0.7866954803466797,0.158025860786438,0.055278707295656204,0.4641600549221039,0.2542850077152252,0.2815549671649933,True,True,True
valid,0y022OlZ3W0$_$8,1,0.0,0.23707370460033417,T,1.6550421714782715,-0.16697636246681213,-0.4237396717071533,0.73696368932724,0.07435189187526703,0.18868447840213776,A,0.010210750624537468,0.05053337663412094,0.0034534698352217674,0.15905191004276276,0.7871536612510681,0.05379437655210495,0.5021816492080688,0.27585452795028687,0.22196386754512787,True,True,True
valid,101787$_$11,1,0.0,-0.14339226484298706,T,1.458686113357544,0.05850355327129364,-0.0582975335419178,0.9258635640144348,0.03713362663984299,0.03700286149978638,T,-0.030194155871868134,-0.009090417996048927,-0.02354138344526291,0.4806000292301178,0.1446920782327652,0.3747079372406006,0.4512304961681366,0.2719877362251282,0.27678176760673523,True,True,True
valid,101787$_$13,2,1.1868085861206055,1.1868085861206055,T,4.757472991943359,0.11508609354496002,-0.007322785444557667,0.974915623664856,0.02358378656208515,0.0015006071189418435,T,0.46607455611228943,-0.007205326110124588,-0.055436186492443085,0.8815214037895203,0.013627968728542328,0.10485057532787323,0.3765066862106323,0.3010818362236023,0.32241150736808777,True,True,True
valid,101787$_$1,2,0.10396736860275269,0.10396736860275269,T,-0.11716008186340332,0.023091480135917664,-0.03724927455186844,0.6600536704063416,0.13009223341941833,0.20985406637191772,T,0.08652293682098389,-0.037722501903772354,-0.029122842475771904,0.5641514658927917,0.2459602653980255,0.18988829851150513,0.4339708387851715,0.27627840638160706,0.2897508144378662,True,True,True
valid,101787$_$5,0,-1.293527603149414,-1.293527603149414,T,5.6127166748046875,-0.08013942837715149,0.11692511290311813,0.9660804867744446,0.013793880119919777,0.020125560462474823,T,-0.43338483572006226,-0.021411988884210587,-0.02153538167476654,0.9098373651504517,0.044951800256967545,0.04521084576845169,0.39854875206947327,0.2983129322528839,0.3031383454799652,True,True,True
valid,101787$_$7,2,0.9536796808242798,0.9536796808242798,T,3.678276538848877,-0.04203993082046509,-0.05710666626691818,0.9737528562545776,0.011129261925816536,0.015117889270186424,T,0.37057560682296753,-0.017707308754324913,-0.03855857625603676,0.8681808114051819,0.04148450493812561,0.09033464640378952,0.37770476937294006,0.30840128660202026,0.3138939440250397,True,True,True
valid,101787$_$9,1,0.0,-0.285758912563324,T,2.1590795516967773,0.049495868384838104,-0.02053634263575077,0.9685828685760498,0.02220430038869381,0.009212790988385677,T,-0.10378506779670715,-0.0011957506649196148,-0.005553903058171272,0.9389363527297974,0.01081787422299385,0.050245776772499084,0.4800625443458557,0.24327592551708221,0.2766614854335785,True,True,True
valid,102408$_$2,0,-0.26842182874679565,-0.26842182874679565,T,-0.19567060470581055,0.012720652855932713,0.01972632110118866,0.8577620387077332,0.05576357990503311,0.08647435158491135,T,-0.1508295089006424,-0.0058027212508022785,0.05192628875374794,0.7231999635696411,0.027822988107800484,0.24897707998752594,0.5007566213607788,0.25872835516929626,0.24051502346992493,True,True,True
valid,102408$_$5,2,0.11738057434558868,0.11738057434558868,T,0.4039038419723511,0.2915884256362915,0.396565318107605,0.3698558211326599,0.2670082747936249,0.3631359040737152,V,-0.036059293895959854,0.019000399857759476,0.04121364653110504,0.3745511770248413,0.1973588913679123,0.4280899167060852,0.47108736634254456,0.2751558721065521,0.2537567615509033,True,True,True
valid,102408$_$9,0,-0.21092665195465088,-0.21092665195465088,T,1.6316951513290405,0.03561035171151161,0.04150503873825073,0.9548718929290771,0.020839262753725052,0.024288848042488098,T,-0.16393105685710907,0.009240134619176388,0.06927374005317688,0.6761578917503357,0.038112301379442215,0.2857297956943512,0.5102307796478271,0.2947797179222107,0.19498953223228455,True,True,True
valid,102858$_$20,2,0.12590041756629944,0.12590041756629944,T,-0.19988715648651123,0.1640266627073288,0.12772899866104126,0.40656986832618713,0.3336297273635864,0.25980037450790405,A,0.02365962229669094,0.03902638331055641,-0.03568662703037262,0.24051021039485931,0.39671993255615234,0.36276987195014954,0.45123809576034546,0.2637436091899872,0.28501832485198975,True,True,True
valid,102858$_$21,0,-1.50101900100708,-1.50101900100708,T,6.060091018676758,-0.040464818477630615,-0.11343226581811905,0.9752337336540222,0.0065118917264044285,0.018254341557621956,T,-0.5624216794967651,0.035685330629348755,-0.03801489248871803,0.8841413855552673,0.05609825998544693,0.05976039171218872,0.40695369243621826,0.2855694591999054,0.30747678875923157,True,True,True
valid,102858$_$1,1,0.0,0.07249745726585388,T,0.9331638813018799,-0.07865571975708008,-0.1985541731119156,0.7709716558456421,0.06498465687036514,0.16404367983341217,A,0.003938579931855202,0.03439858555793762,-0.02915871888399124,0.058352891355752945,0.5096397399902344,0.432007372379303,0.4578084647655487,0.2704019248485565,0.27178969979286194,True,True,True
valid,102858$_$0,2,0.13193367421627045,0.13193367421627045,T,1.3471591472625732,0.24051415920257568,0.037698447704315186,0.8288314342498779,0.1479748636484146,0.023193739354610443,T,0.06482076644897461,0.0123947374522686,-0.048201315104961395,0.5168427228927612,0.09882835298776627,0.3843289613723755,0.4207397401332855,0.2686488926410675,0.3106113076210022,True,True,True
valid,102858$_$4,2,0.9285343885421753,0.9285343885421753,T,3.627443552017212,0.032935384660959244,-0.0290876105427742,0.9831891655921936,0.008926869370043278,0.00788396131247282,T,0.3413396179676056,0.002161656739190221,-0.03848830610513687,0.8935835957527161,0.005658941809087992,0.10075747966766357,0.3871632218360901,0.3005405366420746,0.3122962415218353,True,True,True
valid,102858$_$6,2,1.445915937423706,1.445915937423706,T,5.098140239715576,0.0875123143196106,-0.06412620097398758,0.971115231513977,0.01666971482336521,0.012215029448270798,T,0.5493873357772827,0.003966228570789099,-0.04279588907957077,0.921559751033783,0.0066530779004096985,0.07178718596696854,0.3689116835594177,0.3070268929004669,0.32406145334243774,True,True,True
valid,102858$_$10,2,1.7745552062988281,1.7745552062988281,T,6.026039123535156,0.03527950495481491,-0.03908967971801758,0.9878091812133789,0.005783138331025839,0.006407715380191803,T,0.6721131801605225,0.006921274587512016,-0.014027969911694527,0.9697729349136353,0.009986509568989277,0.020240558311343193,0.3560549020767212,0.31723546981811523,0.3267095685005188,True,True,True
valid,102858$_$17,1,0.0,-0.15184104442596436,T,1.7765064239501953,0.0584007129073143,0.06933115422725677,0.9329223036766052,0.030668804422020912,0.036408863961696625,T,-0.08434080332517624,0.025849424302577972,-0.007157671265304089,0.7187244892120361,0.220280259847641,0.06099531054496765,0.4533228278160095,0.26866409182548523,0.27801305055618286,True,True,True
valid,102858$_$19,1,0.0,0.039117611944675446,T,2.2045576572418213,-0.05730321258306503,-0.06174945831298828,0.948763906955719,0.024661283940076828,0.026574790477752686,T,0.042694129049777985,-0.004720719065517187,-0.03992554545402527,0.4888245761394501,0.054049666970968246,0.45712578296661377,0.45709460973739624,0.27107295393943787,0.2718324661254883,True,True,True
valid,112433$_$10,1,0.0,0.015439317561686039,T,2.8076202869415283,0.05460425093770027,-0.06270253658294678,0.959894061088562,0.018668584525585175,0.021437298506498337,T,-0.01895132288336754,-0.004285857547074556,0.013391581363976002,0.5173891186714172,0.11700798571109772,0.36560291051864624,0.45426836609840393,0.27251991629600525,0.2732117474079132,True,True,True
